IDDE;DNI1;DNI2;PERIODO;ID_SERVI;NOMBRE_SERVI;CODI_SENTI;PATENTE;CODI_EXPE;FECH_CHI;FECH_UTC;POSI_PUNTO;LATITUD;LONGITUD;VELOCIDAD;PASO_HORA_CHL;PASO_HORA_UTC;PERIODO_HORA;VALIDA;EXTRA
GWZK23-01/09/2021 07:20:16-1;96711420;77130027;202109;376;104;0;GWZK23;30495149;01/09/2021 07:20:16;01/09/2021 11:20:16;1;-23,550549;-70,387464;19;01/09/2021 07:20:16;01/09/2021 11:20:16;7;0;0
GWZK23-01/09/2021 07:20:16-2;96711420;77130027;202109;376;104;0;GWZK23;30495149;01/09/2021 07:20:16;01/09/2021 11:20:16;2;-23,559483;-70,391175;32;01/09/2021 07:23:51;01/09/2021 11:23:51;7;0;0
GWZK23-01/09/2021 07:20:16-3;96711420;77130027;202109;376;104;0;GWZK23;30495149;01/09/2021 07:20:16;01/09/2021 11:20:16;3;-23,565941;-70,383100;23;01/09/2021 07:27:16;01/09/2021 11:27:16;7;0;0
GWZK23-01/09/2021 07:20:16-4;96711420;77130027;202109;376;104;0;GWZK23;30495149;01/09/2021 07:20:16;01/09/2021 11:20:16;4;-23,567920;-70,380074;13;01/09/2021 07:29:21;01/09/2021 11:29:21;7;0;0
GWZK23-01/09/2021 07:20:16-5;96711420;77130027;202109;376;104;0;GWZK23;30495149;01/09/2021 07:20:16;01/09/2021 11:20:16;5;-23,569116;-70,376841;16;01/09/2021 07:33:16;01/09/2021 11:33:16;7;0;0
GWZK23-01/09/2021 07:20:16-6;96711420;77130027;202109;376;104;0;GWZK23;30495149;01/09/2021 07:20:16;01/09/2021 11:20:16;6;-23,573484;-70,382142;21;01/09/2021 07:36:51;01/09/2021 11:36:51;7;0;0
GWZK23-01/09/2021 07:20:16-7;96711420;77130027;202109;376;104;0;GWZK23;30495149;01/09/2021 07:20:16;01/09/2021 11:20:16;7;-23,576353;-70,374956;16;01/09/2021 07:41:17;01/09/2021 11:41:17;7;0;0
GWZK23-01/09/2021 07:20:16-8;96711420;77130027;202109;376;104;0;GWZK23;30495149;01/09/2021 07:20:16;01/09/2021 11:20:16;8;-23,581342;-70,383032;14;01/09/2021 07:46:47;01/09/2021 11:46:47;7;0;0
GWZK23-01/09/2021 07:20:16-9;96711420;77130027;202109;376;104;0;GWZK23;30495149;01/09/2021 07:20:16;01/09/2021 11:20:16;9;-23,585517;-70,382730;34;01/09/2021 07:48:16;01/09/2021 11:48:16;7;0;0
GWZK23-01/09/2021 07:20:16-10;96711420;77130027;202109;376;104;0;GWZK23;30495149;01/09/2021 07:20:16;01/09/2021 11:20:16;10;-23,592426;-70,378548;17;01/09/2021 07:52:22;01/09/2021 11:52:22;7;0;0
GWZK23-01/09/2021 07:20:16-11;96711420;77130027;202109;376;104;0;GWZK23;30495149;01/09/2021 07:20:16;01/09/2021 11:20:16;11;-23,599452;-70,374852;21;01/09/2021 07:56:16;01/09/2021 11:56:16;7;0;0
GWZK23-01/09/2021 07:20:16-12;96711420;77130027;202109;376;104;0;GWZK23;30495149;01/09/2021 07:20:16;01/09/2021 11:20:16;12;-23,610145;-70,378165;13;01/09/2021 08:00:46;01/09/2021 12:00:46;7;0;0
GWZK23-01/09/2021 07:20:16-13;96711420;77130027;202109;376;104;0;GWZK23;30495149;01/09/2021 07:20:16;01/09/2021 11:20:16;13;-23,632057;-70,384454;21;01/09/2021 08:11:21;01/09/2021 12:11:21;7;0;0
GWZK23-01/09/2021 07:20:16-14;96711420;77130027;202109;376;104;0;GWZK23;30495149;01/09/2021 07:20:16;01/09/2021 11:20:16;14;-23,648445;-70,397879;14;01/09/2021 08:22:17;01/09/2021 12:22:17;7;0;0
GWZK23-01/09/2021 07:20:16-15;96711420;77130027;202109;376;104;0;GWZK23;30495149;01/09/2021 07:20:16;01/09/2021 11:20:16;15;-23,668106;-70,399001;26;01/09/2021 08:32:47;01/09/2021 12:32:47;7;0;0
GWZK23-01/09/2021 07:20:16-16;96711420;77130027;202109;376;104;0;GWZK23;30495149;01/09/2021 07:20:16;01/09/2021 11:20:16;16;-23,678731;-70,409510;25;01/09/2021 08:38:47;01/09/2021 12:38:47;7;0;0
GWZK23-01/09/2021 07:20:16-17;96711420;77130027;202109;376;104;0;GWZK23;30495149;01/09/2021 07:20:16;01/09/2021 11:20:16;17;-23,702226;-70,423604;49;01/09/2021 08:44:21;01/09/2021 12:44:21;7;0;0
