DNI1;DNI2;UNI;PERI_MES;INDICADOR;CODI_SERVI;NOM_SERV;CODI_SENTI;PERI_DIA;PERI_HORA;POSI_BUS;POSI_PUNTO;PASA_ACT;PASA_ANT;INT_OBS;INT_EXI;INCUM;PPU_ACT;PPU_ANT;CODI_EXPED;TIPO_DIA;TIPO_ESTACIONALIDAD
96711420;77130027;UN04;202108;0,00;376;104;0;01/08/2021;7;1;1;01/08/2021 07:17:46;;0,00;30,00;-30,00;JRKG10;;27816621;2;0
96711420;77130027;UN04;202108;0,00;376;104;0;01/08/2021;7;1;2;01/08/2021 07:20:48;;0,00;30,00;-30,00;JRKG10;;27816621;2;0
96711420;77130027;UN04;202108;1,00;376;104;0;01/08/2021;7;2;1;01/08/2021 07:34:19;01/08/2021 07:17:46;16,55;30,00;-13,45;BHWD19;JRKG10;27817553;2;0
96711420;77130027;UN04;202108;1,00;376;104;0;01/08/2021;7;2;2;01/08/2021 07:37:19;01/08/2021 07:20:48;16,52;30,00;-13,48;BHWD19;JRKG10;27817553;2;0
96711420;77130027;UN04;202108;1,00;376;104;0;01/08/2021;7;3;1;01/08/2021 07:41:23;01/08/2021 07:34:19;7,07;30,00;-22,93;FXRR73;BHWD19;27818036;2;0
96711420;77130027;UN04;202108;1,00;376;104;0;01/08/2021;7;3;2;01/08/2021 07:44:53;01/08/2021 07:37:19;7,57;30,00;-22,43;FXRR73;BHWD19;27818036;2;0
96711420;77130027;UN04;202108;1,00;376;104;0;01/08/2021;7;4;1;01/08/2021 07:48:17;01/08/2021 07:41:23;6,90;30,00;-23,10;XY1952;FXRR73;27818480;2;0
96711420;77130027;UN04;202108;1,00;376;104;0;01/08/2021;7;4;2;01/08/2021 07:52:17;01/08/2021 07:44:53;7,40;30,00;-22,60;XY1952;FXRR73;27818480;2;0
96711420;77130027;UN04;202108;1,00;376;104;0;01/08/2021;7;5;1;01/08/2021 07:55:53;01/08/2021 07:48:17;7,60;30,00;-22,40;JDYK21;XY1952;27818906;2;0
96711420;77130027;UN04;202108;1,00;376;104;0;01/08/2021;7;5;2;01/08/2021 07:58:54;01/08/2021 07:52:17;6,62;30,00;-23,38;JDYK21;XY1952;27818906;2;0
96711420;77130027;UN04;202108;0,00;376;104;1;01/08/2021;8;1;1;01/08/2021 08:02:13;;0,00;60,00;-60,00;FXZW67;;27819260;2;0
96711420;77130027;UN04;202108;0,00;376;104;0;01/08/2021;8;1;1;01/08/2021 08:03:54;;0,00;10,00;-10,00;YW6567;;27819386;2;0
96711420;77130027;UN04;202108;0,00;376;104;0;01/08/2021;8;1;2;01/08/2021 08:06:24;;0,00;10,00;-10,00;YW6567;;27819386;2;0
96711420;77130027;UN04;202108;1,00;376;104;1;01/08/2021;8;2;1;01/08/2021 08:10:45;01/08/2021 08:02:13;8,53;60,00;-51,47;HYCZ32;FXZW67;27819801;2;0
96711420;77130027;UN04;202108;0,00;376;104;1;01/08/2021;8;1;2;01/08/2021 08:11:21;;0,00;60,00;-60,00;FXZW67;;27819260;2;0
96711420;77130027;UN04;202108;1,00;376;104;0;01/08/2021;8;2;1;01/08/2021 08:12:20;01/08/2021 08:03:54;8,43;10,00;-1,57;XY9706;YW6567;27819892;2;0
96711420;77130027;UN04;202108;1,00;376;104;0;01/08/2021;8;2;2;01/08/2021 08:15:56;01/08/2021 08:06:24;9,53;10,00;-0,47;XY9706;YW6567;27819892;2;0
96711420;77130027;UN04;202108;1,00;376;104;1;01/08/2021;8;3;1;01/08/2021 08:19:15;01/08/2021 08:10:45;8,50;60,00;-51,50;DCXL23;HYCZ32;27819802;2;0
96711420;77130027;UN04;202108;1,00;376;104;1;01/08/2021;8;2;2;01/08/2021 08:19:51;01/08/2021 08:11:21;8,50;60,00;-51,50;HYCZ32;FXZW67;27819801;2;0
96711420;77130027;UN04;202108;1,00;376;104;0;01/08/2021;8;3;1;01/08/2021 08:20:22;01/08/2021 08:12:20;8,03;10,00;-1,97;HLDF69;XY9706;27820345;2;0
96711420;77130027;UN04;202108;1,00;376;104;0;01/08/2021;8;3;2;01/08/2021 08:22:51;01/08/2021 08:15:56;6,92;10,00;-3,08;HLDF69;XY9706;27820345;2;0
96711420;77130027;UN04;202108;1,00;376;104;1;01/08/2021;8;3;2;01/08/2021 08:24:18;01/08/2021 08:19:51;4,45;60,00;-55,55;DCXL23;HYCZ32;27819802;2;0
96711420;77130027;UN04;202108;1,00;376;104;1;01/08/2021;8;4;1;01/08/2021 08:27:45;01/08/2021 08:19:15;8,50;60,00;-51,50;FXZW83;DCXL23;27820824;2;0
