DNI1;DNI2;UNI;PERI_MES;INDICADOR;ID_SERVI;NOM_SERV;CODI_SENTI;PERIODO_DIA;PERIODO_HORA;INTERVALO_INDICADOR;POSI_PUNTO;HORA_PASADA_CHL;HORA_PASADA_CHL_ANTERIOR;INTERVALO_OBSERVADO;INTERVALO_EXIGIDO;INCUMPLIMIENTO;PATENTE;PATENTE_ANTERIOR;NRO_UNICO_PASADA;TIPO_DIA;TIPO_ESTACIONALIDAD
96711420;77130027;UN04;202108;1,00;376;104;0;02/08/2021;6;4;1;02/08/2021 06:12:47;02/08/2021 06:06:49;5,97;7,50;-1,53;DCXL23;HWHH92;27899063;0;0
96711420;77130027;UN04;202108;1,00;376;104;0;02/08/2021;6;4;2;02/08/2021 06:16:49;02/08/2021 06:09:52;6,95;7,50;-0,55;DCXL23;HWHH92;27899063;0;0
96711420;77130027;UN04;202108;1,00;376;104;0;02/08/2021;6;1;1;02/08/2021 06:18:49;02/08/2021 06:12:47;6,03;7,50;-1,47;HYCZ32;DCXL23;27899453;0;0
96711420;77130027;UN04;202108;1,00;376;104;0;02/08/2021;6;1;2;02/08/2021 06:21:19;02/08/2021 06:16:49;4,50;7,50;-3,00;HYCZ32;DCXL23;27899453;0;0
96711420;77130027;UN04;202108;1,00;376;104;0;02/08/2021;6;8;1;02/08/2021 06:23:47;02/08/2021 06:18:49;4,97;7,50;-2,53;HFST77;HYCZ32;27899721;0;0
96711420;77130027;UN04;202108;1,00;376;104;0;02/08/2021;6;8;2;02/08/2021 06:27:18;02/08/2021 06:21:19;5,98;7,50;-1,52;HFST77;HYCZ32;27899721;0;0
96711420;77130027;UN04;202108;1,00;376;104;0;02/08/2021;6;6;1;02/08/2021 06:31:52;02/08/2021 06:23:47;8,08;7,50;0,58;KHBF36;HFST77;27900206;0;0
96711420;77130027;UN04;202108;1,00;376;104;0;02/08/2021;6;6;2;02/08/2021 06:35:17;02/08/2021 06:27:18;7,98;7,50;0,48;KHBF36;HFST77;27900206;0;0
96711420;77130027;UN04;202108;1,00;376;104;0;02/08/2021;6;7;1;02/08/2021 06:37:19;02/08/2021 06:31:52;5,45;7,50;-2,05;JWTG29;KHBF36;27900590;0;0
96711420;77130027;UN04;202108;1,00;376;104;0;02/08/2021;6;7;2;02/08/2021 06:39:47;02/08/2021 06:35:17;4,50;7,50;-3,00;JWTG29;KHBF36;27900590;0;0
