IDDE;DNI1;DNI2;PERIODO;ID_SERVI;NOMBRE_SERVI;CODI_SENTI;PATENTE;CODI_EXPE;FECH_CHI;FECH_UTC;POSI_PUNTO;LATITUD;LONGITUD;VELOCIDAD;PASO_HORA_CHL;PASO_HORA_UTC;PERIODO_HORA;VALIDA;EXTRA
BCHK58-02/08/2021 07:17:50-1;96711420;77130027;202108;376;104;1;BCHK58;27903054;02/08/2021 07:17:50;02/08/2021 11:17:50;1;-23,735081;-70,440404;60;02/08/2021 07:17:50;02/08/2021 11:17:50;7;0;0
BCHK58-02/08/2021 07:17:50-2;96711420;77130027;202108;376;104;1;BCHK58;27903054;02/08/2021 07:17:50;02/08/2021 11:17:50;2;-23,702243;-70,423490;36;02/08/2021 07:30:48;02/08/2021 11:30:48;7;0;0
BCHK58-02/08/2021 07:17:50-3;96711420;77130027;202108;376;104;1;BCHK58;27903054;02/08/2021 07:17:50;02/08/2021 11:17:50;3;-23,678744;-70,409430;12;02/08/2021 07:38:17;02/08/2021 11:38:17;7;0;0
BCHK58-02/08/2021 07:17:50-4;96711420;77130027;202108;376;104;1;BCHK58;27903054;02/08/2021 07:17:50;02/08/2021 11:17:50;4;-23,672720;-70,404317;29;02/08/2021 07:41:46;02/08/2021 11:41:46;7;0;0
BCHK58-02/08/2021 07:17:50-5;96711420;77130027;202108;376;104;1;BCHK58;27903054;02/08/2021 07:17:50;02/08/2021 11:17:50;5;-23,669938;-70,401066;18;02/08/2021 07:43:17;02/08/2021 11:43:17;7;0;0
BCHK58-02/08/2021 07:17:50-6;96711420;77130027;202108;376;104;1;BCHK58;27903054;02/08/2021 07:17:50;02/08/2021 11:17:50;6;-23,664990;-70,396700;20;02/08/2021 07:47:17;02/08/2021 11:47:17;7;0;0
BCHK58-02/08/2021 07:17:50-7;96711420;77130027;202108;376;104;1;BCHK58;27903054;02/08/2021 07:17:50;02/08/2021 11:17:50;7;-23,657110;-70,394161;17;02/08/2021 07:50:48;02/08/2021 11:50:48;7;0;0
BCHK58-02/08/2021 07:17:50-8;96711420;77130027;202108;376;104;1;BCHK58;27903054;02/08/2021 07:17:50;02/08/2021 11:17:50;8;-23,647395;-70,401901;11;02/08/2021 07:59:48;02/08/2021 11:59:48;7;0;0
BCHK58-02/08/2021 07:17:50-9;96711420;77130027;202108;376;104;1;BCHK58;27903054;02/08/2021 07:17:50;02/08/2021 11:17:50;9;-23,647397;-70,398341;15;02/08/2021 08:02:17;02/08/2021 12:02:17;7;0;0
BCHK58-02/08/2021 07:17:50-10;96711420;77130027;202108;376;104;1;BCHK58;27903054;02/08/2021 07:17:50;02/08/2021 11:17:50;10;-23,648425;-70,391249;28;02/08/2021 08:07:47;02/08/2021 12:07:47;7;0;0
BCHK58-02/08/2021 07:17:50-11;96711420;77130027;202108;376;104;1;BCHK58;27903054;02/08/2021 07:17:50;02/08/2021 11:17:50;11;-23,638919;-70,386425;18;02/08/2021 08:11:18;02/08/2021 12:11:18;7;0;0
BCHK58-02/08/2021 07:17:50-12;96711420;77130027;202108;376;104;1;BCHK58;27903054;02/08/2021 07:17:50;02/08/2021 11:17:50;12;-23,631041;-70,385091;25;02/08/2021 08:13:52;02/08/2021 12:13:52;7;0;0
BCHK58-02/08/2021 07:17:50-13;96711420;77130027;202108;376;104;1;BCHK58;27903054;02/08/2021 07:17:50;02/08/2021 11:17:50;13;-23,629347;-70,377409;7;02/08/2021 08:16:17;02/08/2021 12:16:17;7;0;0
BCHK58-02/08/2021 07:17:50-14;96711420;77130027;202108;376;104;1;BCHK58;27903054;02/08/2021 07:17:50;02/08/2021 11:17:50;14;-23,621291;-70,379101;15;02/08/2021 08:21:48;02/08/2021 12:21:48;7;0;0
BCHK58-02/08/2021 07:17:50-15;96711420;77130027;202108;376;104;1;BCHK58;27903054;02/08/2021 07:17:50;02/08/2021 11:17:50;15;-23,610147;-70,378165;36;02/08/2021 08:26:48;02/08/2021 12:26:48;7;0;0
BCHK58-02/08/2021 07:17:50-16;96711420;77130027;202108;376;104;1;BCHK58;27903054;02/08/2021 07:17:50;02/08/2021 11:17:50;16;-23,601567;-70,376409;19;02/08/2021 08:29:48;02/08/2021 12:29:48;7;0;0
BCHK58-02/08/2021 07:17:50-17;96711420;77130027;202108;376;104;1;BCHK58;27903054;02/08/2021 07:17:50;02/08/2021 11:17:50;17;-23,599461;-70,374853;26;02/08/2021 08:31:16;02/08/2021 12:31:16;7;0;0
BCHK58-02/08/2021 07:17:50-18;96711420;77130027;202108;376;104;1;BCHK58;27903054;02/08/2021 07:17:50;02/08/2021 11:17:50;18;-23,597241;-70,377415;8;02/08/2021 08:33:19;02/08/2021 12:33:19;7;0;0
BCHK58-02/08/2021 07:17:50-19;96711420;77130027;202108;376;104;1;BCHK58;27903054;02/08/2021 07:17:50;02/08/2021 11:17:50;19;-23,592430;-70,378548;7;02/08/2021 08:36:19;02/08/2021 12:36:19;7;0;0
BCHK58-02/08/2021 07:17:50-20;96711420;77130027;202108;376;104;1;BCHK58;27903054;02/08/2021 07:17:50;02/08/2021 11:17:50;20;-23,586614;-70,380019;23;02/08/2021 08:39:18;02/08/2021 12:39:18;7;0;0
